Region/Country/Area,,Year,Series,Value
2,Africa,2000,Supply per capita (gigajoules),26
2,Africa,2005,Supply per capita (gigajoules),27
2,Africa,2010,Supply per capita (gigajoules),27
2,Africa,2015,Supply per capita (gigajoules),27
2,Africa,2016,Supply per capita (gigajoules),26
2,Africa,2017,Supply per capita (gigajoules),26
2,Africa,2018,Supply per capita (gigajoules),26
3,North America,1995,Primary energy production (petajoules),"93,935"
3,North America,2000,Primary energy production (petajoules),"96,725"
3,North America,2005,Primary energy production (petajoules),"98,779"
3,North America,2010,Primary energy production (petajoules),"101,209"
3,North America,2015,Primary energy production (petajoules),"115,127"
3,North America,2016,Primary energy production (petajoules),"110,388"
3,North America,2017,Primary energy production (petajoules),"114,154"
3,North America,2018,Primary energy production (petajoules),"122,359"
3,North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"9,243"
3,North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"15,880"
3,North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"20,410"
3,North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"13,036"
3,North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,788"
3,North America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"2,154"
3,North America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,995"
3,North America,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,150"
3,North America,1995,Changes in stocks (petajoules),-918
3,North America,2000,Changes in stocks (petajoules),"-2,231"
3,North America,2005,Changes in stocks (petajoules),-142
3,North America,2010,Changes in stocks (petajoules),-610
3,North America,2015,Changes in stocks (petajoules),"2,062"
3,North America,2016,Changes in stocks (petajoules),"-1,345"
3,North America,2017,Changes in stocks (petajoules),"-1,518"
3,North America,2018,Changes in stocks (petajoules),-847
3,North America,1995,Total supply (petajoules),"104,096"
3,North America,2000,Total supply (petajoules),"114,836"
3,North America,2005,Total supply (petajoules),"119,331"
3,North America,2010,Total supply (petajoules),"114,855"
3,North America,2015,Total supply (petajoules),"114,853"
3,North America,2016,Total supply (petajoules),"113,888"
3,North America,2017,Total supply (petajoules),"113,677"
3,North America,2018,Total supply (petajoules),"117,056"
3,North America,1995,Supply per capita (gigajoules),228
3,North America,2000,Supply per capita (gigajoules),236
3,North America,2005,Supply per capita (gigajoules),232
3,North America,2010,Supply per capita (gigajoules),212
3,North America,2015,Supply per capita (gigajoules),202
3,North America,2016,Supply per capita (gigajoules),199
3,North America,2017,Supply per capita (gigajoules),197
3,North America,2018,Supply per capita (gigajoules),201
5,South America,1995,Primary energy production (petajoules),"20,327"
5,South America,2000,Primary energy production (petajoules),"24,060"
5,South America,2005,Primary energy production (petajoules),"26,635"
5,South America,2010,Primary energy production (petajoules),"29,347"
5,South America,2015,Primary energy production (petajoules),"31,623"
5,South America,2016,Primary energy production (petajoules),"31,287"
5,South America,2017,Primary energy production (petajoules),"30,692"
5,South America,2018,Primary energy production (petajoules),"29,434"
5,South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,751"
5,South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,317"
5,South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,091"
5,South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,296"
5,South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,516"
5,South America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,689"
5,South America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,632"
5,South America,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,708"
5,South America,1995,Changes in stocks (petajoules),-8
5,South America,2000,Changes in stocks (petajoules),-14
5,South America,2005,Changes in stocks (petajoules),-326
5,South America,2010,Changes in stocks (petajoules),-89
5,South America,2015,Changes in stocks (petajoules),28
5,South America,2016,Changes in stocks (petajoules),-104
5,South America,2017,Changes in stocks (petajoules),-774
5,South America,2018,Changes in stocks (petajoules),-349
5,South America,1995,Total supply (petajoules),"14,583"
5,South America,2000,Total supply (petajoules),"16,758"
5,South America,2005,Total supply (petajoules),"18,869"
5,South America,2010,Total supply (petajoules),"22,140"
5,South America,2015,Total supply (petajoules),"24,078"
5,South America,2016,Total supply (petajoules),"23,702"
5,South America,2017,Total supply (petajoules),"23,833"
5,South America,2018,Total supply (petajoules),"23,076"
5,South America,1995,Supply per capita (gigajoules),45
5,South America,2000,Supply per capita (gigajoules),48
5,South America,2005,Supply per capita (gigajoules),51
5,South America,2010,Supply per capita (gigajoules),56
5,South America,2015,Supply per capita (gigajoules),58
5,South America,2016,Supply per capita (gigajoules),57
5,South America,2017,Supply per capita (gigajoules),57
5,South America,2018,Supply per capita (gigajoules),55
142,Asia,1995,Primary energy production (petajoules),"133,648"
142,Asia,2000,Primary energy production (petajoules),"150,192"
142,Asia,2005,Primary energy production (petajoules),"192,251"
142,Asia,2010,Primary energy production (petajoules),"236,390"
142,Asia,2015,Primary energy production (petajoules),"260,641"
142,Asia,2016,Primary energy production (petajoules),"264,113"
142,Asia,2017,Primary energy production (petajoules),"267,975"
142,Asia,2018,Primary energy production (petajoules),"276,234"
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,535"
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,650"
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,531"
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),12
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"7,846"
142,Asia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"4,569"
142,Asia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"10,622"
142,Asia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"13,222"
142,Asia,1995,Changes in stocks (petajoules),618
142,Asia,2000,Changes in stocks (petajoules),-710
142,Asia,2005,Changes in stocks (petajoules),-368
142,Asia,2010,Changes in stocks (petajoules),"1,651"
142,Asia,2015,Changes in stocks (petajoules),172
142,Asia,2016,Changes in stocks (petajoules),"-3,045"
142,Asia,2017,Changes in stocks (petajoules),-137
142,Asia,2018,Changes in stocks (petajoules),"1,852"
142,Asia,1995,Total supply (petajoules),"124,496"
142,Asia,2000,Total supply (petajoules),"141,252"
142,Asia,2005,Total supply (petajoules),"183,088"
142,Asia,2010,Total supply (petajoules),"234,751"
142,Asia,2015,Total supply (petajoules),"268,316"
142,Asia,2016,Total supply (petajoules),"271,726"
142,Asia,2017,Total supply (petajoules),"278,735"
142,Asia,2018,Total supply (petajoules),"287,605"
142,Asia,1995,Supply per capita (gigajoules),36
142,Asia,2000,Supply per capita (gigajoules),38
142,Asia,2005,Supply per capita (gigajoules),46
142,Asia,2010,Supply per capita (gigajoules),56
142,Asia,2015,Supply per capita (gigajoules),61
142,Asia,2016,Supply per capita (gigajoules),61
142,Asia,2017,Supply per capita (gigajoules),62
142,Asia,2018,Supply per capita (gigajoules),63
150,Europe,1995,Primary energy production (petajoules),"93,688"
150,Europe,2000,Primary energy production (petajoules),"95,060"
150,Europe,2005,Primary energy production (petajoules),"102,802"
150,Europe,2010,Primary energy production (petajoules),"102,657"
150,Europe,2015,Primary energy production (petajoules),"101,269"
150,Europe,2016,Primary energy production (petajoules),"102,683"
150,Europe,2017,Primary energy production (petajoules),"104,721"
150,Europe,2018,Primary energy production (petajoules),"106,862"
150,Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"13,193"
150,Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"11,981"
150,Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"10,812"
150,Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"8,137"
150,Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"2,874"
150,Europe,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"1,683"
150,Europe,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"2,590"
150,Europe,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"1,995"
150,Europe,1995,Changes in stocks (petajoules),112
150,Europe,2000,Changes in stocks (petajoules),261
150,Europe,2005,Changes in stocks (petajoules),583
150,Europe,2010,Changes in stocks (petajoules),"-1,193"
150,Europe,2015,Changes in stocks (petajoules),184
150,Europe,2016,Changes in stocks (petajoules),-788
150,Europe,2017,Changes in stocks (petajoules),251
150,Europe,2018,Changes in stocks (petajoules),-311
150,Europe,1995,Total supply (petajoules),"106,768"
150,Europe,2000,Total supply (petajoules),"106,779"
150,Europe,2005,Total supply (petajoules),"113,031"
150,Europe,2010,Total supply (petajoules),"111,987"
150,Europe,2015,Total supply (petajoules),"103,959"
150,Europe,2016,Total supply (petajoules),"105,153"
150,Europe,2017,Total supply (petajoules),"107,059"
150,Europe,2018,Total supply (petajoules),"109,167"
150,Europe,1995,Supply per capita (gigajoules),147
150,Europe,2000,Supply per capita (gigajoules),147
150,Europe,2005,Supply per capita (gigajoules),155
150,Europe,2010,Supply per capita (gigajoules),152
150,Europe,2015,Supply per capita (gigajoules),140
150,Europe,2016,Supply per capita (gigajoules),141
150,Europe,2017,Supply per capita (gigajoules),143
150,Europe,2018,Supply per capita (gigajoules),146
9,Oceania,1995,Primary energy production (petajoules),"8,662"
9,Oceania,2000,Primary energy production (petajoules),"10,651"
9,Oceania,2005,Primary energy production (petajoules),"12,256"
9,Oceania,2010,Primary energy production (petajoules),"14,530"
9,Oceania,2015,Primary energy production (petajoules),"17,058"
9,Oceania,2016,Primary energy production (petajoules),"17,215"
9,Oceania,2017,Primary energy production (petajoules),"17,986"
9,Oceania,2018,Primary energy production (petajoules),"18,215"
9,Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,784"
9,Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,382"
9,Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,530"
9,Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,767"
9,Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,417"
9,Oceania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,823"
9,Oceania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,233"
9,Oceania,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,618"
9,Oceania,1995,Changes in stocks (petajoules),103
9,Oceania,2000,Changes in stocks (petajoules),-233
9,Oceania,2005,Changes in stocks (petajoules),-37
9,Oceania,2010,Changes in stocks (petajoules),281
9,Oceania,2015,Changes in stocks (petajoules),66
9,Oceania,2016,Changes in stocks (petajoules),-178
9,Oceania,2017,Changes in stocks (petajoules),122
9,Oceania,2018,Changes in stocks (petajoules),-48
9,Oceania,1995,Total supply (petajoules),"4,776"
9,Oceania,2000,Total supply (petajoules),"5,500"
9,Oceania,2005,Total supply (petajoules),"5,763"
9,Oceania,2010,Total supply (petajoules),"6,482"
9,Oceania,2015,Total supply (petajoules),"6,574"
9,Oceania,2016,Total supply (petajoules),"6,569"
9,Oceania,2017,Total supply (petajoules),"6,630"
9,Oceania,2018,Total supply (petajoules),"6,645"
9,Oceania,1995,Supply per capita (gigajoules),164
9,Oceania,2000,Supply per capita (gigajoules),177
9,Oceania,2005,Supply per capita (gigajoules),172
9,Oceania,2010,Supply per capita (gigajoules),176
9,Oceania,2015,Supply per capita (gigajoules),165
9,Oceania,2016,Supply per capita (gigajoules),162
9,Oceania,2017,Supply per capita (gigajoules),162
9,Oceania,2018,Supply per capita (gigajoules),160
4,Afghanistan,1995,Primary energy production (petajoules),16
4,Afghanistan,2000,Primary energy production (petajoules),18
4,Afghanistan,2005,Primary energy production (petajoules),23
4,Afghanistan,2010,Primary energy production (petajoules),41
4,Afghanistan,2015,Primary energy production (petajoules),61
4,Afghanistan,2016,Primary energy production (petajoules),71
4,Afghanistan,2017,Primary energy production (petajoules),83
4,Afghanistan,2018,Primary energy production (petajoules),89
4,Afghanistan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13
4,Afghanistan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
4,Afghanistan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),14
4,Afghanistan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),95
4,Afghanistan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),76
4,Afghanistan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),51
4,Afghanistan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),41
4,Afghanistan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),53
4,Afghanistan,1995,Changes in stocks (petajoules),0
4,Afghanistan,2000,Changes in stocks (petajoules),0
4,Afghanistan,1995,Total supply (petajoules),29
4,Afghanistan,2000,Total supply (petajoules),25
4,Afghanistan,2005,Total supply (petajoules),36
4,Afghanistan,2010,Total supply (petajoules),136
4,Afghanistan,2015,Total supply (petajoules),136
4,Afghanistan,2016,Total supply (petajoules),122
4,Afghanistan,2017,Total supply (petajoules),124
4,Afghanistan,2018,Total supply (petajoules),142
4,Afghanistan,1995,Supply per capita (gigajoules),1
4,Afghanistan,2000,Supply per capita (gigajoules),1
4,Afghanistan,2005,Supply per capita (gigajoules),1
4,Afghanistan,2010,Supply per capita (gigajoules),5
4,Afghanistan,2015,Supply per capita (gigajoules),4
4,Afghanistan,2016,Supply per capita (gigajoules),3
4,Afghanistan,2017,Supply per capita (gigajoules),3
4,Afghanistan,2018,Supply per capita (gigajoules),4
8,Albania,1995,Primary energy production (petajoules),43
8,Albania,2000,Primary energy production (petajoules),34
8,Albania,2005,Primary energy production (petajoules),48
8,Albania,2010,Primary energy production (petajoules),69
8,Albania,2015,Primary energy production (petajoules),87
8,Albania,2016,Primary energy production (petajoules),82
8,Albania,2017,Primary energy production (petajoules),68
8,Albania,2018,Primary energy production (petajoules),81
8,Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
8,Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31
8,Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43
8,Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22
8,Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),9
8,Albania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),15
8,Albania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),37
8,Albania,2018,Net imports [Imports - Exports - Bunkers] (petajoules),15
8,Albania,1995,Changes in stocks (petajoules),0
8,Albania,2005,Changes in stocks (petajoules),0
8,Albania,2010,Changes in stocks (petajoules),0
8,Albania,2015,Changes in stocks (petajoules),6
8,Albania,2016,Changes in stocks (petajoules),5
8,Albania,2017,Changes in stocks (petajoules),6
8,Albania,2018,Changes in stocks (petajoules),5
8,Albania,1995,Total supply (petajoules),47
8,Albania,2000,Total supply (petajoules),65
8,Albania,2005,Total supply (petajoules),91
8,Albania,2010,Total supply (petajoules),91
8,Albania,2015,Total supply (petajoules),91
8,Albania,2016,Total supply (petajoules),91
8,Albania,2017,Total supply (petajoules),100
8,Albania,2018,Total supply (petajoules),91
8,Albania,1995,Supply per capita (gigajoules),15
8,Albania,2000,Supply per capita (gigajoules),21
8,Albania,2005,Supply per capita (gigajoules),29
8,Albania,2010,Supply per capita (gigajoules),31
8,Albania,2015,Supply per capita (gigajoules),31
8,Albania,2016,Supply per capita (gigajoules),31
8,Albania,2017,Supply per capita (gigajoules),35
8,Albania,2018,Supply per capita (gigajoules),32
12,Algeria,1995,Primary energy production (petajoules),"4,748"
12,Algeria,2000,Primary energy production (petajoules),"5,852"
12,Algeria,2005,Primary energy production (petajoules),"7,534"
12,Algeria,2010,Primary energy production (petajoules),"6,200"
12,Algeria,2015,Primary energy production (petajoules),"5,883"
12,Algeria,2016,Primary energy production (petajoules),"6,283"
12,Algeria,2017,Primary energy production (petajoules),"6,285"
12,Algeria,2018,Primary energy production (petajoules),"6,254"
12,Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,485"
12,Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,762"
12,Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,952"
12,Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,551"
12,Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,694"
12,Algeria,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,085"
12,Algeria,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,986"
12,Algeria,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,814"
12,Algeria,1995,Changes in stocks (petajoules),-8
12,Algeria,2000,Changes in stocks (petajoules),-14
12,Algeria,2005,Changes in stocks (petajoules),0
12,Algeria,2010,Changes in stocks (petajoules),9
12,Algeria,2015,Changes in stocks (petajoules),-36
12,Algeria,2016,Changes in stocks (petajoules),-3
12,Algeria,2017,Changes in stocks (petajoules),12
12,Algeria,2018,Changes in stocks (petajoules),12
12,Algeria,1995,Total supply (petajoules),"1,270"
12,Algeria,2000,Total supply (petajoules),"1,103"
12,Algeria,2005,Total supply (petajoules),"1,583"
12,Algeria,2010,Total supply (petajoules),"1,641"
12,Algeria,2015,Total supply (petajoules),"2,223"
12,Algeria,2016,Total supply (petajoules),"2,202"
12,Algeria,2017,Total supply (petajoules),"2,288"
12,Algeria,2018,Total supply (petajoules),"2,429"
12,Algeria,1995,Supply per capita (gigajoules),45
12,Algeria,2000,Supply per capita (gigajoules),36
12,Algeria,2005,Supply per capita (gigajoules),48
12,Algeria,2010,Supply per capita (gigajoules),46
12,Algeria,2015,Supply per capita (gigajoules),56
12,Algeria,2016,Supply per capita (gigajoules),54
12,Algeria,2017,Supply per capita (gigajoules),55
12,Algeria,2018,Supply per capita (gigajoules),58
20,Andorra,1995,Primary energy production (petajoules),0
20,Andorra,2000,Primary energy production (petajoules),0
20,Andorra,2005,Primary energy production (petajoules),0
20,Andorra,2010,Primary energy production (petajoules),1
20,Andorra,2015,Primary energy production (petajoules),1
20,Andorra,2016,Primary energy production (petajoules),1
20,Andorra,2017,Primary energy production (petajoules),1
20,Andorra,2018,Primary energy production (petajoules),1
20,Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
20,Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10
20,Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2018,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,1995,Total supply (petajoules),7
20,Andorra,2000,Total supply (petajoules),9
20,Andorra,2005,Total supply (petajoules),10
20,Andorra,2010,Total supply (petajoules),10
20,Andorra,2015,Total supply (petajoules),9
20,Andorra,2016,Total supply (petajoules),9
20,Andorra,2017,Total supply (petajoules),9
20,Andorra,2018,Total supply (petajoules),9
20,Andorra,1995,Supply per capita (gigajoules),111
20,Andorra,2000,Supply per capita (gigajoules),138
20,Andorra,2005,Supply per capita (gigajoules),130
20,Andorra,2010,Supply per capita (gigajoules),114
20,Andorra,2015,Supply per capita (gigajoules),113
20,Andorra,2016,Supply per capita (gigajoules),116
20,Andorra,2017,Supply per capita (gigajoules),117
20,Andorra,2018,Supply per capita (gigajoules),122
24,Angola,1995,Primary energy production (petajoules),"1,582"
24,Angola,2000,Primary energy production (petajoules),"1,782"
24,Angola,2005,Primary energy production (petajoules),"2,888"
24,Angola,2010,Primary energy production (petajoules),"4,016"
24,Angola,2015,Primary energy production (petajoules),"4,030"
24,Angola,2016,Primary energy production (petajoules),"3,998"
24,Angola,2017,Primary energy production (petajoules),"4,087"
24,Angola,2018,Primary energy production (petajoules),"3,793"
24,Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,224"
24,Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,475"
24,Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,565"
24,Angola,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,547"
24,Angola,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,489"
24,Angola,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,498"
24,Angola,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,603"
24,Angola,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,312"
24,Angola,1995,Changes in stocks (petajoules),17
24,Angola,2000,Changes in stocks (petajoules),21
24,Angola,2005,Changes in stocks (petajoules),5
24,Angola,2010,Changes in stocks (petajoules),1
24,Angola,2015,Changes in stocks (petajoules),-4
24,Angola,2016,Changes in stocks (petajoules),-30
24,Angola,2017,Changes in stocks (petajoules),-19
24,Angola,2018,Changes in stocks (petajoules),-34
24,Angola,1995,Total supply (petajoules),340
24,Angola,2000,Total supply (petajoules),287
24,Angola,2005,Total supply (petajoules),318
24,Angola,2010,Total supply (petajoules),469
24,Angola,2015,Total supply (petajoules),545
24,Angola,2016,Total supply (petajoules),531
24,Angola,2017,Total supply (petajoules),505
24,Angola,2018,Total supply (petajoules),514
24,Angola,1995,Supply per capita (gigajoules),28
24,Angola,2000,Supply per capita (gigajoules),21
24,Angola,2005,Supply per capita (gigajoules),19
24,Angola,2010,Supply per capita (gigajoules),20
24,Angola,2015,Supply per capita (gigajoules),20
24,Angola,2016,Supply per capita (gigajoules),18
24,Angola,2017,Supply per capita (gigajoules),17
24,Angola,2018,Supply per capita (gigajoules),17
660,Anguilla,1995,Primary energy production (petajoules),0
660,Anguilla,2000,Primary energy production (petajoules),0
660,Anguilla,2005,Primary energy production (petajoules),0
660,Anguilla,2010,Primary energy production (petajoules),0
660,Anguilla,2015,Primary energy production (petajoules),0
660,Anguilla,2016,Primary energy production (petajoules),0
660,Anguilla,2017,Primary energy production (petajoules),0
660,Anguilla,2018,Primary energy production (petajoules),0
660,Anguilla,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
660,Anguilla,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
660,Anguilla,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2018,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,1995,Total supply (petajoules),1
660,Anguilla,2000,Total supply (petajoules),1
660,Anguilla,2005,Total supply (petajoules),2
660,Anguilla,2010,Total supply (petajoules),2
660,Anguilla,2015,Total supply (petajoules),2
660,Anguilla,2016,Total supply (petajoules),2
